 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0001-0004,57,0.77550212,0.20129641,0.97364616,0.50025320,1.00000000,317.04385965,2.58771930,317.63281248,2.28535628,46.04163056,310,0,14,8,11.78725409,6.15704501,8.28335606,0.33789622,14.31782106,44.20362091,0.89053571,-0.25080105,-1.79118296,100,44.20362091,310,0,167.90524292,8.00000000,1.91443364,0.52234770,0.67455621,-3.403E38,3.4e38,1
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0002-0010,134,0.81104913,0.15649691,0.97835927,0.50884581,0.97927809,399.26865672,9.76119403,399.11565092,9.87899858,56.52691193,391,2,18,16,20.18295051,8.45337746,132.60702366,0.52699214,24.08318916,108.68058360,0.87130708,-0.54657583,-1.21643632,100,108.68058360,391,2,138.36646066,11.09400392,2.38756055,0.41883755,0.78823529,-3.403E38,3.4e38,1
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0003-0022,124,0.81262244,0.15304115,0.96903882,0.50492114,0.97922903,56.10483871,22.66935484,56.14698223,22.79232187,49.11269837,50,14,14,16,16.49725825,9.57017834,130.12350346,0.64601702,18.60107524,100.76518250,0.87687659,-0.70514201,-0.92574359,100,100.76518250,52,15,126.25383774,11.68991249,1.72381931,0.58010720,0.79742765,-3.403E38,3.4e38,1
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0004-0022,126,0.74535892,0.13950532,0.82364193,0.50062615,0.96130604,161.17460317,22.53968254,161.08652770,22.42661660,48.76955262,154,15,15,14,13.74845634,11.66881421,62.33323367,0.66570660,17.00000000,93.91522366,0.74653393,-0.17107700,-1.26548094,100,93.91522366,154,29,28.07248694,13.28156617,1.17822223,0.84873632,0.79495268,-3.403E38,3.4e38,1
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0005-0040,165,0.80840165,0.14753756,0.97058000,0.50032365,0.99069279,606.76666667,39.70606061,606.41797571,39.81508858,80.91168825,599,25,18,30,19.16710204,10.96068276,82.18848047,0.31671693,30.80584360,133.38627291,0.86050320,-0.60377928,-1.01547280,100,133.38627291,610,55,76.86597769,16.13758061,1.74871424,0.57184872,0.52215190,-3.403E38,3.4e38,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0006-0063,140,0.85890740,0.14342499,0.97168784,0.50572938,0.99560767,1256.10000000,62.60714286,1256.15237056,62.51008769,50.52691193,1251,54,12,19,19.77644704,9.01342571,67.52673791,0.68911609,21.09502311,120.24703652,0.91915458,-1.23015128,0.23416549,100,120.24703652,1251,73,58.57043439,11.06797181,2.19410995,0.45576567,0.88050314,-3.403E38,3.4e38,1
7,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0007-0062,95,0.81117916,0.15225681,0.94285613,0.50779414,0.99521589,349.12105263,62.11052632,349.20005602,61.88521560,38.28427125,342,57,15,10,14.29522241,8.46141132,16.98522152,0.81450302,15.52417470,77.06201982,0.87173909,-0.67763580,-0.99952982,100,77.06201982,342,64,14.93141718,9.83869910,1.68946076,0.59190484,0.87557604,-3.403E38,3.4e38,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0008-0077,122,0.88130346,0.13274865,0.96068242,0.50900972,1.00000000,609.99180328,77.39344262,609.96799932,77.37641408,40.62741700,604,71,12,13,13.39199103,11.59911354,68.54167235,0.92881939,14.86606875,107.51902187,0.93604636,-1.49625450,1.10893522,100,107.51902187,606,84,47.72631099,12.00000000,1.15457022,0.86612316,0.91729323,-3.403E38,3.4e38,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0009-0081,95,0.80143906,0.12325228,0.95383063,0.50611299,0.95470679,998.45789474,80.98421053,998.55961254,81.04174496,42.28427125,993,73,10,16,14.48224567,8.35214092,103.30980368,0.66769138,17.08800749,76.13671076,0.81188834,-0.59381213,-0.49852657,100,76.13671076,997,73,110.55604522,9.83869910,1.73395610,0.57671587,0.83333333,-3.403E38,3.4e38,1
10,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0010-0086,74,0.80266764,0.15528806,0.88147370,0.50850415,0.99689394,920.12162162,86.06756757,920.10005666,86.17252135,35.21320344,915,81,11,10,10.19823467,9.23882704,178.86248679,0.74994690,12.08304597,59.39740568,0.87002206,-0.77297956,-0.86346547,100,59.39740568,915,83,155.55604522,10.00000000,1.10384518,0.90592415,0.84571429,-3.403E38,3.4e38,1
11,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0011-0090,74,0.76052371,0.12413847,0.86773516,0.50280792,0.94661492,1112.20270270,89.75675676,1112.25744111,89.78821026,31.55634919,1108,85,9,10,10.65105287,8.84604813,91.93894873,0.93383055,11.66190379,56.27875465,0.80292833,-0.54415881,-1.06703828,100,56.27875465,1109,85,120.96375653,9.00000000,1.20404645,0.83053274,0.92500000,-3.403E38,3.4e38,1
12,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0012-0097,122,0.82777555,0.15512564,0.95405757,0.50176644,0.97923666,763.80327869,97.91803279,763.85223356,98.10460667,57.59797975,756,87,16,21,21.02418825,7.38840533,125.45461749,0.46212046,26.40075756,100.98861730,0.89926046,-0.93272765,-0.60834052,100,100.98861730,756,87,127.30394828,8.87520314,2.84556509,0.35142405,0.78205128,-3.403E38,3.4e38,1
13,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0013-0096,114,0.80167695,0.15836622,0.96526009,0.50973713,0.99461812,54.36842105,95.95614035,54.30082394,95.90031055,46.52691193,50,88,12,17,15.18830301,9.55665080,68.28025029,0.66176875,17.46424920,91.39117241,0.85067272,-0.42780927,-1.30570882,100,91.39117241,51,105,76.75948008,11.66493877,1.58929141,0.62921123,0.82909091,-3.403E38,3.4e38,1
14,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0014-0134,212,0.77901627,0.16592895,0.97816524,0.42713308,0.97924358,506.07547170,132.24528302,506.05465454,131.61351653,92.56854249,496,122,20,25,20.44767459,13.20085481,123.89038812,0.31089868,29.68164416,165.15144897,0.82208443,-0.33243011,-1.39107294,100,165.15144897,500,122,122.61924307,16.71059252,1.54896595,0.64559198,0.66876972,-3.403E38,3.4e38,1
15,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0015-0144,130,0.86546576,0.13230314,0.97860855,0.50403488,0.99689841,619.20000000,143.83846154,619.16799018,143.80065489,47.35533906,612,136,13,16,14.97662510,11.05196530,101.71101939,0.72847611,16.49242250,112.51054859,0.91488850,-1.31527509,0.68947750,100,112.51054859,619,136,104.03624347,12.81005702,1.35510967,0.73794765,0.83601286,-3.403E38,3.4e38,0
16,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0016-0147,176,0.77217558,0.15362534,0.97830876,0.49897367,0.97924680,1140.00568182,147.79545455,1140.24851140,147.43510419,59.94112550,1132,139,17,17,16.33725799,13.71650983,103.57491729,0.61556334,19.10497317,135.90290183,0.79261065,-0.25612280,-1.36155705,100,135.90290183,1135,139,132.87890360,16.21796756,1.19106523,0.83958458,0.82823529,-3.403E38,3.4e38,1
17,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0017-0149,98,0.66996527,0.12272824,0.64299687,0.50151175,0.96886903,44.43877551,149.12244898,44.51085291,148.89628424,41.69848481,38,142,12,15,13.05369267,9.55878758,93.35548440,0.70826436,15.13274595,65.65659678,0.64308119,0.75840531,-0.33297114,100,65.65659678,43,142,97.59464337,11.64171000,1.36562222,0.73226694,0.78714859,-3.403E38,3.4e38,1
18,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0018-0162,120,0.88162867,0.12332246,0.97964734,0.50378281,1.00000000,444.64166667,162.75000000,444.61772124,162.72739322,40.87005769,439,156,13,13,13.86069455,11.02316661,129.75421396,0.90277725,15.26433752,105.79544014,0.93658507,-1.63017423,1.74057752,100,105.79544014,440,156,121.60750225,11.77939295,1.25741496,0.79528241,0.90566038,-3.403E38,3.4e38,1
19,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0019-0180,182,0.81407246,0.15553345,0.97494391,0.44222954,1.00000000,850.13736264,179.52747253,850.32371654,179.18604213,74.08326112,842,172,17,17,15.75919918,14.70440182,7.30871090,0.41671686,19.79898987,148.16118759,0.88832438,-0.69426626,-0.91597912,100,148.16118759,843,173,135.00000000,16.12761607,1.07173344,0.93306783,0.78279570,-3.403E38,3.4e38,1
20,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0020-0187,348,0.72777723,0.16245215,0.50235355,0.49748883,0.99563694,1034.38793103,190.08333333,1034.19310538,190.32854204,90.22539674,1022,173,24,29,29.35498286,15.09411073,48.98843074,0.53719444,34.40930107,253.26647627,0.68993902,0.24526158,-1.37330805,100,253.26647627,1025,201,54.46232221,16.92057571,1.94479711,0.51419246,0.82366864,-3.403E38,3.4e38,1
21,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0021-0201,120,0.88203669,0.12753443,0.96605205,0.50339001,1.00000000,1168.03333333,200.70833333,1167.93323396,200.80228365,49.35533906,1160,193,16,16,17.97768811,8.49879831,44.80896412,0.61904587,20.00000000,105.84440333,0.92748940,-1.56693131,1.46509773,100,105.84440333,1160,205,36.86989765,10.60660172,2.11532118,0.47274145,0.82758621,-3.403E38,3.4e38,1
22,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0022-0201,57,0.76124167,0.13978819,0.68669384,0.50107533,0.96466887,333.18421053,201.35964912,333.07668977,201.38252755,28.97056275,329,196,8,10,10.40320016,6.97618549,61.75836688,0.85343580,11.66190379,43.39077491,0.79610056,-0.25858112,-1.13972924,100,43.39077491,330,206,59.03624347,7.90569415,1.49124477,0.67058072,0.87022901,-3.403E38,3.4e38,0
23,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0023-0213,192,0.79554140,0.16530437,0.93521453,0.48968983,1.00000000,101.22395833,212.22916667,101.09605716,212.28994566,74.91168825,89,202,25,23,31.29802178,7.81078096,43.79734506,0.42994403,33.97057550,152.74394923,0.84617853,-0.39832035,-1.34664813,100,152.74394923,89,225,42.61405597,9.65311908,4.00702848,0.24956149,0.77108434,-3.403E38,3.4e38,1
24,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0024-0212,122,0.81869582,0.15922135,0.53526398,0.50939208,1.00000000,788.40163934,211.35245902,788.57454771,211.32610626,55.35533906,778,205,17,15,14.18290348,10.95228665,108.08586767,0.50032323,18.43908891,99.88088983,0.89043981,-0.52062684,-1.23961540,100,99.88088983,779,206,130.60129465,13.85751671,1.29497190,0.77221753,0.70520231,-3.403E38,3.4e38,1
25,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0025-0215,61,0.74821310,0.16289642,0.55647415,0.50346982,0.99689192,160.43442623,215.10655738,160.46070764,214.72688715,34.62741700,156,210,11,11,12.84463430,6.04669704,54.70645605,0.63929235,13.60147051,45.64099914,0.69900817,0.22523141,-1.36853009,100,45.64099914,156,221,36.02737339,7.77817459,2.12423977,0.47075665,0.75308642,-3.403E38,3.4e38,1
26,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0026-0220,81,0.83879041,0.11461498,0.91524471,0.53405178,0.96680295,592.01851852,219.43827160,592.13187523,219.37739657,34.04163056,587,214,10,12,11.33667144,9.09723843,102.22868425,0.87836329,12.64911064,67.94202292,0.87996715,-1.37589889,0.77067118,100,67.94202292,589,214,108.43494882,10.00000000,1.24616624,0.80246115,0.87567568,-3.403E38,3.4e38,0
27,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0027-0239,78,0.84738195,0.11634799,0.95375082,0.50104088,0.95463675,301.93589744,239.74358974,301.93154358,239.80082335,33.45584412,297,234,11,11,12.66749029,7.83996532,131.92364213,0.87571035,13.03840481,66.09579229,0.89375162,-1.39278748,1.01561476,100,66.09579229,299,234,122.47119229,8.48528137,1.61575846,0.61890439,0.89142857,-3.403E38,3.4e38,1
28,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0028-0262,91,0.84793943,0.11732319,0.97207213,0.50390738,0.99209547,413.54395604,262.45604396,413.57567374,262.39828396,37.55634919,407,258,13,9,13.19331562,8.78208343,6.79135743,0.81074545,13.92838828,77.16248775,0.86791015,-1.12555729,0.78664572,100,77.16248775,407,263,21.03751103,8.95533471,1.50229905,0.66564643,0.90547264,-3.403E38,3.4e38,1
29,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0029-0271,89,0.69923903,0.12742591,0.80254232,0.49207789,0.95016950,924.14044944,266.91573034,924.13783001,266.74099671,57.11269837,919,260,10,22,16.84336836,6.72777066,82.63906607,0.34287397,23.08679276,62.23227382,0.67799199,0.23576103,-1.12426781,100,62.23227382,922,282,72.34987578,9.26370424,2.50355864,0.39943143,0.64259928,-3.403E38,3.4e38,1
30,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0030-0267,71,0.80010574,0.13863820,0.91436536,0.51055115,0.95138884,1108.51408451,267.19014085,1108.70341021,267.39632201,32.38477631,1104,262,9,10,9.89714748,9.13394570,99.70489147,0.85071954,11.66190379,56.80750787,0.85076421,-0.75278132,-0.84828205,100,56.80750787,1105,262,120.96375653,9.00000000,1.08355664,0.92288669,0.88198758,-3.403E38,3.4e38,1
31,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0031-0280,100,0.72933936,0.14798900,0.62504205,0.50289923,0.98768312,38.65000000,278.51000000,38.80264472,278.33297061,47.35533906,33,273,13,14,14.70640749,8.65771974,44.43976033,0.56036624,17.80449381,72.93393588,0.69922525,0.28919049,-1.11654899,100,72.93393588,34,287,51.84277341,10.25385747,1.69864675,0.58870392,0.79681275,-3.403E38,3.4e38,1
32,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0032-0291,76,0.73644311,0.09919129,0.79769722,0.51397824,0.89929420,729.86842105,290.50000000,729.86488380,290.44088825,41.11269837,724,284,12,14,17.08505202,5.66379343,130.10515284,0.56502998,17.80449381,55.96967649,0.75725341,-0.45790960,-0.76070926,100,55.96967649,725,284,128.15722659,7.61983903,3.01653869,0.33150578,0.76767677,-3.403E38,3.4e38,1
33,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0033-0298,87,0.79356608,0.11304179,0.84903646,0.50779104,0.95463926,207.25862069,299.20114943,207.34658945,299.37879804,40.62741700,203,291,10,15,16.78664814,6.59880635,116.40376654,0.66235481,17.20465053,69.04024887,0.81495088,-0.60364459,-0.71555556,100,69.04024887,203,291,125.53767779,7.54593775,2.54389161,0.39309851,0.87000000,-3.403E38,3.4e38,1
34,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0034-0346,85,0.61841716,0.07355258,0.54135662,0.50113070,0.79961872,472.77058824,346.35882353,472.76513851,346.21390374,67.35533906,470,333,6,27,26.66675997,4.05843685,92.20043582,0.23544243,27.65863337,52.56545842,0.61757916,0.35491619,-0.51496431,100,52.56545842,470,333,102.52880771,6.00000000,6.57069728,0.15219085,0.59859155,-3.403E38,3.4e38,1
35,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0035-0342,111,0.78303474,0.16894256,0.99426893,0.50141788,0.99523342,96.70720721,341.23873874,96.58022905,341.60528902,49.94112550,91,334,12,16,14.29335797,9.88778073,59.35181355,0.55926313,16.76305461,86.91685617,0.82974666,-0.33286355,-1.40974310,100,86.91685617,94,350,72.64597536,12.00000000,1.44555774,0.69177451,0.76551724,-3.403E38,3.4e38,1
36,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0036-0348,160,0.81732856,0.16099383,0.99902840,0.50254250,1.00000000,144.65625000,348.25625000,144.76325229,348.20715323,52.76955262,135,340,17,16,16.35396683,12.45681426,44.39288906,0.72204293,18.78829423,130.77257001,0.88677657,-0.49310926,-1.21074883,100,130.77257001,135,351,25.20112365,14.72424119,1.31285307,0.76169986,0.82051282,-3.403E38,3.4e38,1
