,class,precision,recall,F1,accuracy,MAE,MPE,F1_geno_ttest_pval,mean_F1_ev0,mean_F1_ev1,precision_geno_ttest_pval,recall_geno_ttest_pval
0,classifier1,0.9731903485254692,0.5260869565217391,0.6829727187206021,0.5185714285714286,63.4,0.04594202898550724,0.5034999235592545,0.6939000983800186,0.6597195261777453,0.7425341317543365,0.5177556800067202
1,classifier10,0.9712430426716141,0.758695652173913,0.8519121236777868,0.7420269312544295,30.2,0.021884057971014493,0.4325112951773887,0.8640317647685307,0.8264559900134643,0.06446674794586692,0.273117266653017
2,classifier11,0.972407231208373,0.7405797101449275,0.8408062525709585,0.7253371185237757,32.9,0.023840579710144926,0.33085759930855024,0.856532263729826,0.8106316089226387,0.1308351411064381,0.23161812253247577
3,classifier12,0.9702495201535508,0.7326086956521739,0.8348472336911643,0.7165131112686038,33.8,0.024492753623188406,0.3606708273587159,0.8495071557037683,0.804472963686995,0.11940221372720804,0.24886494200298537
4,classifier13,0.9722222222222222,0.7101449275362319,0.8207705192629816,0.6960227272727273,37.2,0.026956521739130435,0.41165888874942097,0.8341435596599338,0.7919774596748281,0.08764237873716733,0.31233375830768756
5,classifier14,0.9782393669634025,0.7166666666666667,0.8272689251359263,0.7054208273894437,36.9,0.02673913043478261,0.34627178048340673,0.8435461101025072,0.7948276088601561,0.0866906286351504,0.26198641288039876
6,classifier15,0.9774127310061602,0.6898550724637681,0.8088360237892949,0.6790299572039943,40.6,0.029420289855072463,0.3722821574480275,0.824157627342496,0.7787224779375435,0.19782734349991307,0.3280673322619302
7,classifier16,0.9754098360655737,0.6898550724637681,0.8081494057724957,0.6780626780626781,40.4,0.02927536231884058,0.45320738098657865,0.8204306598658592,0.7798724715004204,0.04109740897883657,0.3595213244988325
8,classifier17,0.9772492244053774,0.6847826086956522,0.8052833404345974,0.6740370898716119,41.3,0.029927536231884055,0.4245857353878524,0.8184283740642385,0.7768268492439878,0.08092689920843513,0.3418582772461167
9,classifier18,0.981,0.7108695652173913,0.8243697478991597,0.7012151536812009,38.0,0.02753623188405797,0.46683858228511166,0.8369315741595382,0.7971205743220657,0.03194707168703876,0.3959982855070599
10,classifier19,0.9774509803921568,0.722463768115942,0.8308333333333334,0.7106200997861725,36.0,0.02608695652173913,0.4765847070734049,0.8419753675082842,0.8060770648561844,0.047879705019299036,0.36925037697800545
11,classifier2,0.9449152542372882,0.8079710144927537,0.87109375,0.7716262975778547,20.0,0.014492753623188406,0.44230847248988925,0.8822085060102733,0.8503080246102808,0.04802250827172859,0.18240441885801484
12,classifier20,0.975609756097561,0.7246376811594203,0.8316008316008315,0.7117437722419929,35.5,0.02572463768115942,0.42193505033314915,0.8455711667253926,0.8024345688811106,0.03860716258691498,0.32326592618379446
13,classifier21,0.9760994263862333,0.7398550724637681,0.841714756801319,0.7266903914590748,33.4,0.02420289855072464,0.4031069307999032,0.8564812416985971,0.8138018520382424,0.030665513685715542,0.3061365202054978
14,classifier22,0.9784313725490196,0.7231884057971014,0.8316666666666667,0.7118402282453637,36.0,0.02608695652173913,0.48749011817408605,0.8427547419299826,0.8069445129134666,0.01993825011393283,0.3908065924742589
15,classifier23,0.9794319294809011,0.7246376811594203,0.8329862557267804,0.7137758743754461,35.9,0.026014492753623185,0.49932828523618333,0.8432805306090574,0.8091044942699721,0.007512466266811667,0.40424036089829884
16,classifier24,0.9781746031746031,0.7144927536231884,0.8257956448911223,0.703281027104137,37.2,0.026956521739130435,0.47319970770561537,0.8370047331090561,0.8008723300481817,0.012269314633113078,0.37565259395506423
17,classifier25,0.9777327935222672,0.7,0.8158783783783783,0.6890156918687589,39.2,0.028405797101449276,0.42517718609011684,0.8305517757466747,0.784628442870427,0.01157006454836233,0.3571874468084809
18,classifier3,0.9685714285714285,0.24565217391304348,0.3919075144508671,0.2437095614665708,103.0,0.0746376811594203,0.5643650684740117,0.3798485011344309,0.4059737844096496,0.7537000396180368,0.5379000557315828
19,classifier4,0.948566610455312,0.8152173913043478,0.8768511301636788,0.7807078417765441,19.4,0.014057971014492753,0.3547563613010881,0.8902532163909427,0.850840800734568,0.09325661136680884,0.18654509797046342
20,classifier5,0.9686057248384118,0.7601449275362319,0.8518067397482744,0.7418670438472419,29.7,0.021521739130434783,0.3923484270057516,0.8666795915053861,0.8230485709806595,0.029305176900200604,0.2511327844308192
21,classifier6,0.973051010587103,0.7326086956521739,0.8358825961140968,0.7180397727272727,34.1,0.02471014492753623,0.41320365660790237,0.8488143929603634,0.8077298181297554,0.11326145550716392,0.3165787531824089
22,classifier7,0.9723546234509056,0.7391304347826086,0.8398517908604365,0.7239176721078779,33.1,0.02398550724637681,0.26723577205484605,0.8587358590135828,0.8050884817239957,0.11340461893961176,0.19097243394859073
23,classifier8,0.9700374531835206,0.7507246376811594,0.8464052287581699,0.7337110481586402,31.2,0.022608695652173914,0.295727064194622,0.863572870374272,0.8152611231589955,0.08954258908385355,0.1910265843950602
24,classifier9,0.9718574108818011,0.7507246376811594,0.8470973017170891,0.7347517730496453,31.4,0.0227536231884058,0.37805058812552483,0.8618994614507794,0.8184660293798659,0.07148158489058884,0.25944443360560887
