 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0001-0005,97,0.76223985,0.12084538,0.73790488,0.47040799,0.98336083,316.25257732,3.89175258,316.24915813,3.76554382,43.21320344,310,0,14,10,13.21796508,9.34366486,14.40846000,0.65275270,14.86606875,73.93726531,0.76671344,-0.26128202,-0.60673917,100,73.93726531,310,5,19.65382406,10.00000000,1.41464460,0.70689133,0.87782805,-3.403E38,3.4e38,1
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0002-0009,144,0.80606760,0.12713799,0.90010027,0.51138639,0.98412156,399.26388889,9.75000000,399.26947222,9.71408982,49.69848481,392,1,15,16,18.96481156,9.66772034,128.45715611,0.73263230,20.61552813,116.07373381,0.83810121,-0.68672801,-0.49352567,100,116.07373381,393,1,129.09385889,11.18033989,1.96166324,0.50977149,0.88073394,-3.403E38,3.4e38,1
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0003-0010,83,0.74180679,0.13798641,0.52077283,0.51991552,0.95885915,274.41566265,10.27108434,274.33675491,10.46859449,37.45584412,270,3,9,15,14.16789158,7.45904086,70.43503248,0.74344489,15.52417470,61.56996393,0.72238064,-0.05774373,-1.41078325,100,61.56996393,273,18,75.06858282,8.62910995,1.89942539,0.52647501,0.85567010,-3.403E38,3.4e38,1
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0004-0017,83,0.76915615,0.12253542,0.92073462,0.50112855,0.94047070,459.27108434,17.94578313,459.31901918,18.00432042,37.45584412,453,11,11,13,11.66285859,9.06114752,114.12850944,0.74344489,13.92838828,63.83996063,0.80060077,-0.49982157,-0.80940967,100,63.83996063,458,11,111.03751103,10.60660172,1.28712821,0.77692338,0.83417085,-3.403E38,3.4e38,1
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0005-0022,141,0.83439209,0.12547916,0.97313337,0.51214516,0.97952330,56.14539007,22.69858156,56.05369993,22.65193203,48.52691193,49,14,15,16,17.50324026,10.25677378,132.28279065,0.75242578,18.86796226,117.64928514,0.87685400,-0.92118231,-0.10269030,100,117.64928514,53,14,122.00538321,11.86920590,1.70650544,0.58599286,0.86769231,-3.403E38,3.4e38,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0006-0022,153,0.82822705,0.12714624,0.93883161,0.50134569,0.99148309,160.74183007,22.53921569,160.83844019,22.44003324,49.94112550,153,15,16,14,15.15437985,12.85474248,49.64208511,0.77087621,17.00000000,126.71873814,0.85834801,-0.88662801,-0.18203699,100,126.71873814,153,28,28.07248694,14.00000000,1.17889408,0.84825262,0.88184438,-3.403E38,3.4e38,1
7,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0007-0023,57,0.76016211,0.14199314,0.53804125,0.50226337,0.97196269,241.04385965,23.86842105,240.94831147,23.82224906,28.62741700,236,19,10,9,9.82463575,7.38700710,143.01896015,0.87401803,11.18033989,43.32924044,0.76135033,-0.14106349,-1.09685815,100,43.32924044,236,22,153.43494882,8.48528137,1.32998867,0.75188610,0.85074627,-3.403E38,3.4e38,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0008-0041,217,0.75095058,0.13174857,0.71037856,0.50199884,0.99365973,605.57373272,40.77649770,605.36827834,40.62770434,76.91168825,597,31,18,21,18.32915280,15.07396355,71.22674128,0.46098300,21.09502311,162.95627671,0.74473691,0.06618380,-0.88321464,100,162.95627671,609,31,95.44033203,16.83641485,1.21594780,0.82240373,0.76274165,-3.403E38,3.4e38,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0009-0048,80,0.78784460,0.13578584,0.54513880,0.50812781,0.97031391,122.01250000,48.32500000,121.97273134,48.41146991,33.45584412,117,42,10,12,11.68781795,8.71498547,60.08292275,0.89816446,13.00000000,63.02756828,0.83118057,-0.57168129,-0.97953045,100,63.02756828,119,54,67.38013505,9.19238816,1.34111732,0.74564692,0.88888889,-3.403E38,3.4e38,1
10,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0010-0064,195,0.81411837,0.12953697,0.94477277,0.49968117,0.98147166,1255.31538462,63.11025641,1255.53331117,62.96267065,60.76955262,1246,54,17,20,20.57934011,12.06460994,60.38820688,0.66354808,23.32380758,158.75308162,0.83264852,-0.81448079,-0.19780663,100,158.75308162,1250,74,59.03624347,14.40588115,1.70576092,0.58624863,0.82978723,-3.403E38,3.4e38,1
11,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0011-0062,118,0.82776237,0.12277105,0.91737412,0.50421655,0.98389155,349.23728814,62.24576271,349.12754877,62.24252728,40.87005769,342,57,15,11,14.85225384,10.11578902,14.41939986,0.88773097,16.15549442,97.67596018,0.85647368,-0.94699604,0.06029727,100,97.67596018,342,65,21.80140949,11.00000000,1.46822495,0.68109454,0.90421456,-3.403E38,3.4e38,1
12,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0012-0064,110,0.82846350,0.13008915,0.87042093,0.50087690,0.97988081,1077.40000000,64.40909091,1077.48529811,64.38824199,39.45584412,1071,58,13,12,12.23417251,11.44796265,165.81487972,0.88793233,13.45362405,91.13098532,0.87811631,-1.09338906,0.11977351,100,91.13098532,1073,59,131.98721250,12.00000000,1.06867684,0.93573657,0.88353414,-3.403E38,3.4e38,1
13,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0013-0065,97,0.81540241,0.12997430,0.92331273,0.50606632,0.97352839,1173.70618557,65.74742268,1173.77504898,65.73129889,38.04163056,1167,60,13,11,14.40205665,8.57545827,29.22686243,0.84229331,14.76482306,79.09403390,0.86512709,-1.05406526,0.00914557,100,79.09403390,1167,69,28.30075577,9.39148551,1.67945038,0.59543289,0.88181818,-3.403E38,3.4e38,1
14,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0014-0067,98,0.79751825,0.14941921,0.93985673,0.50200152,0.99688423,212.00000000,67.26530612,212.20695638,67.26897575,39.69848481,205,61,13,13,11.55504147,10.79853116,75.48522348,0.78142640,13.60147051,78.15678811,0.82918942,-0.58027998,-0.87941088,100,78.15678811,205,67,17.10272897,11.88450164,1.07005678,0.93452985,0.83760684,-3.403E38,3.4e38,1
15,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0015-0076,208,0.80608453,0.13460715,0.98168787,0.50653625,1.00000000,611.23557692,76.30288462,611.25383595,76.29312959,62.18376618,602,68,19,17,20.89256063,12.67598692,40.39876049,0.67595713,21.40093456,167.66558194,0.80012739,-0.36541680,-0.82719851,100,167.66558194,604,85,52.59464337,14.42220510,1.64819992,0.60672251,0.86486486,-3.403E38,3.4e38,1
16,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0016-0081,117,0.80821971,0.12290215,0.67149375,0.50654536,0.98368418,998.63675214,81.35470085,998.58132209,81.30401610,42.87005769,993,73,11,16,15.66944409,9.50697586,107.40306598,0.79999558,17.08800749,94.56170565,0.82115024,-0.63313611,-0.58645672,100,94.56170565,997,73,110.55604522,10.41891771,1.64820489,0.60672069,0.88301887,-3.403E38,3.4e38,1
17,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0017-0080,57,0.80258187,0.11991692,0.52852366,0.52767009,0.96469939,1184.69298246,80.27192982,1184.75784309,80.27533208,27.31370850,1181,76,7,9,9.71865176,7.46756400,95.49364973,0.96011528,10.29563014,45.74716651,0.84716713,-0.86969325,-0.34415947,100,45.74716651,1182,76,119.05460410,7.00000000,1.30144874,0.76837448,0.95798319,-3.403E38,3.4e38,0
18,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0018-0085,114,0.80012614,0.11612323,0.85437716,0.50026894,0.97364599,920.13157895,85.63157895,920.15315431,85.61728399,40.87005769,914,79,13,13,12.58804103,11.53073045,164.39570427,0.85763839,13.92838828,91.21438003,0.82117909,-0.84131476,-0.06117782,100,91.21438003,914,83,158.96248897,12.64911064,1.09169502,0.91600674,0.88030888,-3.403E38,3.4e38,1
19,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0019-0088,121,0.79631057,0.12061119,0.81721411,0.51550823,0.95560342,257.32644628,88.54132231,257.38216813,88.50914029,42.28427125,252,81,12,15,13.73431257,11.21730586,85.55380305,0.85042797,15.52417470,96.35357839,0.83449090,-0.84741396,-0.46070831,100,96.35357839,254,96,75.06858282,12.00000000,1.22438603,0.81673588,0.88644689,-3.403E38,3.4e38,1
20,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0020-0089,133,0.83183039,0.12599621,0.92270056,0.50178576,0.97130293,1111.56766917,89.30451128,1111.59711761,89.30714048,44.87005769,1105,83,14,13,13.35551745,12.67946824,130.71616232,0.83013409,15.26433752,110.63344175,0.87860924,-1.04310845,-0.05697177,100,110.63344175,1107,83,121.60750225,13.00000000,1.05331842,0.94938053,0.89562290,-3.403E38,3.4e38,1
21,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0021-0097,129,0.80920394,0.12496719,0.91449509,0.51724517,0.98267299,54.27519380,96.27519380,54.39520985,96.04226601,46.28427125,49,89,12,16,16.23255079,10.11842830,66.95050633,0.75671565,17.20465053,104.38730812,0.83208197,-0.63136063,-0.51364638,100,104.38730812,50,105,54.46232221,12.00000000,1.60425615,0.62334185,0.84868421,-3.403E38,3.4e38,1
22,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0022-0097,137,0.79801642,0.13021661,0.81744797,0.50117445,0.97604847,763.69708029,98.03284672,763.71530831,98.14334654,48.52691193,757,89,14,17,19.10408946,9.13070565,128.16659647,0.73108037,20.51828453,109.32824904,0.81691122,-0.67802060,-0.57624309,100,109.32824904,757,90,133.02506599,10.26195363,2.09229058,0.47794508,0.88387097,-3.403E38,3.4e38,1
23,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0023-0129,333,0.79332616,0.12757913,0.95112034,0.42904842,0.98942751,506.82732733,129.88438438,506.62146754,129.86493197,102.71067812,495,116,23,26,23.68786779,17.89898408,54.38362971,0.39666411,26.57066051,264.17761284,0.81117308,-0.46359418,-0.64194648,100,264.17761284,501,141,70.20112365,21.45530879,1.32341968,0.75561820,0.77441860,-3.403E38,3.4e38,1
24,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0024-0146,231,0.75903125,0.13386935,0.96408992,0.50356090,0.98575079,618.79437229,144.77705628,618.83973498,144.63502475,96.46803743,609,134,22,24,23.35302869,12.59444069,48.05761109,0.31192843,27.20294102,175.33621931,0.75285918,0.04676468,-1.01535167,100,175.33621931,612,157,53.97262661,15.49246247,1.85423309,0.53930652,0.67543860,-3.403E38,3.4e38,1
25,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0025-0147,230,0.82542578,0.13353078,0.80703310,0.45567009,0.98949164,1139.65652174,148.06086957,1139.63941569,148.03900662,60.18376618,1131,138,18,19,19.04982828,15.37258452,118.02239631,0.79795606,20.24845673,189.84792998,0.86901677,-0.88790666,-0.27442586,100,189.84792998,1137,138,110.22485943,16.12086700,1.23920791,0.80696709,0.89668616,-3.403E38,3.4e38,1
26,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0026-0149,133,0.84138575,0.12928559,0.95596284,0.52521408,0.98951590,44.58270677,149.43984962,44.55580991,149.34097519,43.69848481,38,142,13,15,14.32298243,11.82301663,97.38734844,0.87524320,15.52417470,111.90430486,0.89255095,-0.80321738,-0.68792201,100,111.90430486,43,157,75.06858282,12.96533841,1.21144906,0.82545773,0.88666667,-3.403E38,3.4e38,1
27,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0027-0151,83,0.77187060,0.12870716,0.87642289,0.50935954,0.97340012,678.03012048,152.37951807,677.94165039,152.45306766,36.38477631,674,145,9,13,13.27052104,7.96343127,102.44001657,0.78785907,13.92838828,64.06526005,0.79895735,-0.54788833,-0.84228923,100,64.06526005,677,145,111.03751103,9.00000000,1.66643254,0.60008430,0.85128205,-3.403E38,3.4e38,2
28,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0028-0155,117,0.77516856,0.14272996,0.95033369,0.50541395,0.98499060,151.46581197,154.51709402,151.37758620,154.27642585,45.94112550,145,147,13,16,13.37616324,11.13690257,78.60035115,0.69661443,16.76305461,90.69472200,0.78503591,-0.29818566,-1.16025483,100,90.69472200,148,163,72.64597536,12.49390095,1.20106674,0.83259320,0.80136986,-3.403E38,3.4e38,1
29,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0029-0162,148,0.84330862,0.11821815,0.85839183,0.50525194,0.99260402,444.73648649,162.87162162,444.69021610,162.94653527,45.11269837,438,155,14,15,15.04832894,12.52228426,132.48065183,0.91384801,16.15549442,124.80967611,0.86113894,-0.96214991,0.19749997,100,124.80967611,442,155,111.80140949,13.27476976,1.20172395,0.83213786,0.90797546,-3.403E38,3.4e38,1
30,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0030-0166,82,0.76567102,0.11993496,0.89356542,0.52215284,0.93826497,1110.26829268,166.15853659,1110.30562720,166.18115889,36.38477631,1104,161,12,10,12.86350911,8.11642000,27.21713324,0.77836679,14.21267040,62.78502357,0.76265597,-0.30649355,-1.06437333,100,62.78502357,1104,170,39.28940686,8.85437745,1.58487475,0.63096469,0.86315789,-3.403E38,3.4e38,0
31,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0031-0180,245,0.79412500,0.14387533,0.94028028,0.37736762,0.98669380,850.23061224,180.01836735,850.12800359,179.91400278,61.35533906,841,172,19,17,18.84586407,16.55236859,169.26549027,0.81784542,20.80865205,194.56062388,0.81683379,-0.76703660,-0.31472585,100,194.56062388,843,172,125.21759297,16.73495813,1.13855996,0.87830245,0.91588785,-3.403E38,3.4e38,1
32,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0032-0188,406,0.80630136,0.13996447,0.89410468,0.48075160,0.99071974,1034.46305419,190.14532020,1034.17723841,190.49605688,95.88225099,1021,173,26,30,31.00377454,16.67330068,49.36092788,0.55495716,35.00000000,327.35835066,0.84685457,-0.63796840,-0.83544360,100,327.35835066,1024,201,53.13010235,17.67766953,1.85948632,0.53778293,0.83196721,-3.403E38,3.4e38,1
33,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0033-0201,145,0.81368357,0.11604388,0.75090553,0.50365889,0.98135805,1167.81034483,200.88620690,1167.72436670,200.93430584,51.35533906,1159,193,17,16,19.08056702,9.67579914,42.84401490,0.69088643,20.61552813,117.98411745,0.81720382,-0.65753244,-0.19667926,100,117.98411745,1160,206,39.09385889,11.31370850,1.97198875,0.50710229,0.87349398,-3.403E38,3.4e38,1
34,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0034-0201,90,0.79579544,0.13178578,0.91024528,0.51910329,0.97737491,333.33333333,201.52222222,333.33538882,201.55010111,37.45584412,329,194,9,15,14.38162445,7.96791485,75.02666224,0.80614506,15.52417470,71.62158930,0.81703645,-0.32947880,-1.25507839,100,71.62158930,331,209,75.06858282,8.85437745,1.80494204,0.55403441,0.87804878,-3.403E38,3.4e38,1
35,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0035-0213,209,0.76390252,0.10779253,0.74565561,0.51767462,0.94524336,101.16028708,212.44736842,101.19114202,212.32411800,79.98275606,88,201,27,25,33.47296785,7.94990949,43.76237235,0.41054751,35.38361203,159.65562695,0.77571034,-0.47022947,-0.55373896,100,159.65562695,88,225,42.70938996,10.25896337,4.21048414,0.23750238,0.73462214,-3.403E38,3.4e38,1
36,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0036-0212,151,0.81873750,0.13253534,0.95492946,0.51130807,0.99354619,788.95695364,212.08278146,788.98966158,212.05418279,52.76955262,781,204,15,17,16.77522857,11.46089726,85.68224190,0.68142802,17.46424920,123.62936199,0.85188413,-0.72384405,-0.54023424,100,123.62936199,787,221,66.37062227,14.54647724,1.46369243,0.68320364,0.81842818,-3.403E38,3.4e38,1
37,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0037-0215,92,0.79636507,0.13499019,0.92350662,0.50463295,0.98016137,160.47826087,215.55434783,160.49799305,215.52019398,36.28427125,155,209,11,13,13.18214889,8.88611099,55.00630024,0.87813418,13.60147051,73.26558602,0.83764207,-0.67728106,-0.72096128,100,73.26558602,155,220,36.02737339,9.60000000,1.48345535,0.67410185,0.87619048,-3.403E38,3.4e38,1
